dosage_forms,generic_formulation,actual_ending,count
Gas for Inhalation,oxygen 99 %,,699
INHALATION GAS,oxygen 99 % Gas for Inhalation, Gas for Inhalation,699
Oral Tablet,inert ingredients 1 MG, MG,269
Oral Capsule,gabapentin 300 MG, MG,198
Oral Tablet,ibuprofen 800 MG, MG,197
Oral Tablet,cyclobenzaprine hydrochloride 10 MG, MG,170
Oral Tablet,ciprofloxacin 500 MG, MG,168
Oral Tablet,ibuprofen 600 MG, MG,167
Oral Capsule,gabapentin 100 MG, MG,162
Oral Tablet,atorvastatin 40 MG, MG,159
Oral Tablet,atorvastatin 20 MG, MG,149
Oral Tablet,metformin hydrochloride 1000 MG, MG,147
Oral Capsule,cephalexin 500 MG, MG,147
Oral Tablet,naproxen 500 MG, MG,146
Delayed Release Oral Capsule,omeprazole 20 MG, MG,144
Oral Capsule,celecoxib 200 MG, MG,143
Oral Tablet,metformin hydrochloride 500 MG, MG,142
Gas for Inhalation,nitrogen 99 %,,141
INHALATION GAS,nitrogen 99 % Gas for Inhalation, Gas for Inhalation,141
Oral Tablet,methocarbamol 500 MG, MG,138
Oral Tablet,prednisone 20 MG, MG,138
Oral Tablet,prednisone 5 MG, MG,135
Oral Tablet,methocarbamol 750 MG, MG,135
Oral Tablet,atorvastatin 10 MG, MG,133
Oral Tablet,prednisone 10 MG, MG,127
Oral Tablet,gabapentin 600 MG, MG,126
Oral Tablet,amoxicillin 875 MG / clavulanate 125 MG, MG,126
Oral Tablet,sulfamethoxazole 800 MG / trimethoprim 160 MG, MG,123
Oral Tablet,ibuprofen 400 MG, MG,122
Oral Capsule,amoxicillin 500 MG, MG,120
Oral Tablet,gabapentin 800 MG, MG,119
Oral Tablet,hydroxyzine hydrochloride 25 MG, MG,117
Oral Tablet,hydrochlorothiazide 25 MG, MG,116
Oral Tablet,azithromycin 250 MG, MG,116
"TABLET, DELAYED RELEASE (OBS 06-25-01)",pantoprazole 40 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,115
Oral Capsule,gabapentin 400 MG, MG,115
GASTRO-RESISTANT TABLET,pantoprazole 40 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,115
Oral Tablet,amlodipine 10 MG, MG,115
Delayed Release Oral Tablet,pantoprazole 40 MG, MG,115
Oral Tablet,atorvastatin 80 MG, MG,115
Oral Tablet,sertraline 50 MG, MG,114
Oral Tablet,metronidazole 500 MG, MG,110
Oral Tablet,tramadol hydrochloride 50 MG, MG,110
Oral Tablet,metoprolol tartrate 50 MG, MG,109
Oral Tablet,acetaminophen 325 MG / hydrocodone bitartrate 5 MG, MG,109
Oral Capsule,benzonatate 100 MG, MG,109
Oral Tablet,baclofen 10 MG, MG,107
Oral Tablet,famotidine 20 MG, MG,107
Oral Tablet,amlodipine 5 MG, MG,106
Extended Release Oral Tablet,24 HR bupropion hydrochloride 150 MG, MG,105
"TABLET, EXTENDED RELEASE",24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,105
Extended Release Oral Tablet,24 HR metformin hydrochloride 500 MG, MG,104
"TABLET, EXTENDED RELEASE",24 HR metformin hydrochloride 500 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,104
Oral Tablet,meloxicam 15 MG, MG,104
Oral Tablet,doxycycline hyclate 100 MG, MG,104
Oral Tablet,losartan potassium 50 MG, MG,103
Oral Tablet,acyclovir 400 MG, MG,102
Oral Capsule,fluoxetine 20 MG, MG,102
Oral Capsule,doxycycline hyclate 100 MG, MG,102
Oral Tablet,carisoprodol 350 MG, MG,102
Oral Tablet,sertraline 100 MG, MG,102
Oral Capsule,tamsulosin hydrochloride 0.4 MG, MG,101
Oral Tablet,baclofen 20 MG, MG,101
Oral Tablet,lisinopril 20 MG, MG,99
Extended Release Oral Tablet,24 HR metoprolol succinate 50 MG, MG,99
"TABLET, EXTENDED RELEASE",24 HR metoprolol succinate 50 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,99
Oral Tablet,allopurinol 300 MG, MG,98
Oral Tablet,allopurinol 100 MG, MG,98
Oral Tablet,meloxicam 7.5 MG, MG,96
Oral Capsule,pregabalin 75 MG, MG,96
Oral Tablet,ciprofloxacin 250 MG, MG,96
Oral Tablet,metoprolol tartrate 25 MG, MG,95
Topical Ointment,lidocaine 0.05 MG/MG,MG,95
Oral Tablet,clopidogrel 75 MG, MG,95
Oral Tablet,rosuvastatin calcium 10 MG, MG,94
Oral Gel,sodium fluoride 0.02 MG/MG,MG,94
Oral Tablet,lisinopril 10 MG, MG,94
Oral Capsule,benzonatate 200 MG, MG,94
Medicated Pad,isopropyl alcohol 0.7 ML/ML,ML,94
ORAL GEL,sodium fluoride 0.02 MG/MG Oral Gel,MG Oral Gel,94
Oral Tablet,cyclobenzaprine hydrochloride 5 MG, MG,94
"TABLET, EXTENDED RELEASE",24 HR bupropion hydrochloride 300 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,93
Extended Release Oral Tablet,24 HR bupropion hydrochloride 300 MG, MG,93
"TABLET, DELAYED RELEASE (OBS 06-25-01)",diclofenac sodium 75 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,92
Oral Tablet,atenolol 50 MG, MG,92
GASTRO-RESISTANT TABLET,diclofenac sodium 75 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,92
Delayed Release Oral Tablet,diclofenac sodium 75 MG, MG,92
Oral Tablet,metformin hydrochloride 850 MG, MG,92
Oral Tablet,azithromycin 500 MG, MG,92
Oral Capsule,pregabalin 50 MG, MG,91
Oral Tablet,escitalopram 10 MG, MG,91
Oral Tablet,buspirone hydrochloride 10 MG, MG,91
Delayed Release Oral Capsule,duloxetine 30 MG, MG,91
"TABLET, EXTENDED RELEASE",24 HR metoprolol succinate 25 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,91
Extended Release Oral Tablet,24 HR metoprolol succinate 25 MG, MG,91
Oral Tablet,furosemide 20 MG, MG,91
Oral Tablet,losartan potassium 25 MG, MG,91
Oral Tablet,clonidine hydrochloride 0.1 MG, MG,90
Oral Capsule,celecoxib 100 MG, MG,90
Oral Tablet,promethazine hydrochloride 25 MG, MG,89
Oral Tablet,spironolactone 25 MG, MG,89
Oral Capsule,"nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG", MG,89
Delayed Release Oral Capsule,duloxetine 60 MG, MG,89
Oral Tablet,tizanidine 4 MG, MG,89
Oral Tablet,rosuvastatin calcium 20 MG, MG,88
Oral Tablet,losartan potassium 100 MG, MG,88
Oral Tablet,tadalafil 5 MG, MG,88
Oral Tablet,acetaminophen 325 MG / hydrocodone bitartrate 10 MG, MG,88
"TABLET, EXTENDED RELEASE",24 HR metoprolol succinate 100 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,87
Extended Release Oral Tablet,24 HR metoprolol succinate 100 MG, MG,87
Oral Tablet,topiramate 25 MG, MG,87
Oral Capsule,pregabalin 100 MG, MG,87
Topical Cream,triamcinolone acetonide 1 MG/ML,ML,86
Oral Tablet,furosemide 40 MG, MG,86
Oral Tablet,escitalopram 20 MG, MG,85
Oral Tablet,dicyclomine hydrochloride 20 MG, MG,85
Oral Tablet,tadalafil 20 MG, MG,85
Oral Tablet,metaxalone 800 MG, MG,84
Delayed Release Oral Capsule,omeprazole 40 MG, MG,84
Extended Release Oral Capsule,24 HR venlafaxine 75 MG, MG,83
Oral Capsule,pregabalin 150 MG, MG,83
Oral Tablet,montelukast 10 MG, MG,83
Oral Tablet,amitriptyline hydrochloride 25 MG, MG,83
Oral Tablet,buspirone hydrochloride 15 MG, MG,83
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 75 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,83
Oral Tablet,levetiracetam 500 MG, MG,82
Oral Tablet,folic acid 1 MG, MG,82
Oral Tablet,acetaminophen 300 MG / codeine phosphate 30 MG, MG,82
Oral Tablet,sildenafil 20 MG, MG,82
Oral Tablet,topiramate 50 MG, MG,81
Oral Capsule,hydroxyzine pamoate 25 MG, MG,81
Oral Tablet,sertraline 25 MG, MG,81
Oral Tablet,pravastatin sodium 40 MG, MG,80
Oral Tablet,simvastatin 20 MG, MG,80
Oral Tablet,lisinopril 5 MG, MG,79
Oral Tablet,levothyroxine sodium 0.05 MG, MG,79
Oral Tablet,lorazepam 1 MG, MG,79
Medicated Patch,lidocaine 0.05 MG/MG,MG,78
Oral Tablet,ondansetron 4 MG, MG,78
"TABLET, DELAYED RELEASE (OBS 06-25-01)",pantoprazole 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,77
Oral Tablet,acetaminophen 325 MG / oxycodone hydrochloride 5 MG, MG,77
Delayed Release Oral Tablet,pantoprazole 20 MG, MG,77
GASTRO-RESISTANT TABLET,pantoprazole 20 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,77
Oral Tablet,pravastatin sodium 20 MG, MG,77
Oral Tablet,atenolol 25 MG, MG,77
Oral Tablet,simvastatin 40 MG, MG,76
Oral Tablet,acyclovir 800 MG, MG,76
Oral Tablet,gemfibrozil 600 MG, MG,76
Oral Tablet,zolpidem tartrate 10 MG, MG,76
Oral Tablet,levothyroxine sodium 0.075 MG, MG,76
Oral Tablet,metoprolol tartrate 100 MG, MG,76
Oral Tablet,valacyclovir 500 MG, MG,76
Oral Tablet,zolpidem tartrate 5 MG, MG,76
Oral Tablet,valacyclovir 1000 MG, MG,75
Oral Tablet,ketorolac tromethamine 10 MG, MG,75
Oral Capsule,dicyclomine hydrochloride 10 MG, MG,75
Oral Capsule,fluoxetine 10 MG, MG,75
Oral Tablet,topiramate 100 MG, MG,74
Oral Tablet,trazodone hydrochloride 50 MG, MG,74
Oral Tablet,glipizide 5 MG, MG,74
Oral Capsule,cephalexin 250 MG, MG,74
Oral Tablet,fluconazole 150 MG, MG,74
INHALATION GAS,oxygen 99.5 % Gas for Inhalation, Gas for Inhalation,73
Oral Tablet,buspirone hydrochloride 5 MG, MG,73
Oral Tablet,famotidine 40 MG, MG,73
Gas for Inhalation,oxygen 99.5 %,,73
Oral Tablet,rosuvastatin calcium 5 MG, MG,73
Oral Tablet,meclizine hydrochloride 25 MG, MG,73
"TABLET, EXTENDED RELEASE",12 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet, MG Extended Release Oral Tablet,72
Oral Tablet,acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG, MG,72
"TABLET,DISINTEGRATING",ondansetron 4 MG Disintegrating Oral Tablet, MG Disintegrating Oral Tablet,72
Oral Tablet,rosuvastatin calcium 40 MG, MG,72
Oral Tablet,levothyroxine sodium 0.1 MG, MG,72
Disintegrating Oral Tablet,ondansetron 4 MG, MG,72
Oral Tablet,clonazepam 0.5 MG, MG,72
Oral Tablet,lisinopril 40 MG, MG,72
Extended Release Oral Tablet,12 HR bupropion hydrochloride 150 MG, MG,72
Disintegrating Oral Tablet,ondansetron 8 MG, MG,71
"TABLET,DISINTEGRATING",ondansetron 8 MG Disintegrating Oral Tablet, MG Disintegrating Oral Tablet,71
"TABLET, EXTENDED RELEASE",potassium chloride 10 MEQ Extended Release Oral Tablet, MEQ Extended Release Oral Tablet,70
Topical Solution,diclofenac sodium 15 MG/ML,ML,70
Oral Tablet,levothyroxine sodium 0.088 MG, MG,70
Extended Release Oral Tablet,potassium chloride 10 MEQ, MEQ,70
CUTANEOUS SOLUTION,diclofenac sodium 15 MG/ML Topical Solution,ML Topical Solution,70
Oral Tablet,glipizide 10 MG, MG,70
Oral Tablet,levofloxacin 500 MG, MG,69
Oral Capsule,clindamycin 150 MG, MG,69
Oral Tablet,paroxetine hydrochloride 20 MG, MG,69
Oral Tablet,trazodone hydrochloride 100 MG, MG,69
Oral Tablet,ondansetron 8 MG, MG,69
Oral Tablet,acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG, MG,69
Delayed Release Oral Capsule,esomeprazole 40 MG, MG,68
Oral Tablet,chlorthalidone 25 MG, MG,68
Oral Tablet,naproxen 375 MG, MG,68
Oral Tablet,mirtazapine 15 MG, MG,67
Extended Release Oral Capsule,24 HR venlafaxine 150 MG, MG,67
Oral Tablet,diazepam 5 MG, MG,67
Oral Tablet,clonazepam 1 MG, MG,67
Extended Release Oral Capsule,24 HR venlafaxine 37.5 MG, MG,67
Oral Capsule,clindamycin 300 MG, MG,67
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 150 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,67
"CAPSULE, EXTENDED RELEASE",24 HR venlafaxine 37.5 MG Extended Release Oral Capsule, MG Extended Release Oral Capsule,67
Oral Capsule,phentermine hydrochloride 30 MG, MG,66
Oral Tablet,levothyroxine sodium 0.025 MG, MG,66
Oral Tablet,phentermine hydrochloride 37.5 MG, MG,66
Delayed Release Oral Tablet,diclofenac sodium 50 MG, MG,66
"TABLET, DELAYED RELEASE (OBS 06-25-01)",diclofenac sodium 50 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,66
Oral Tablet,amitriptyline hydrochloride 50 MG, MG,66
Delayed Release Oral Capsule,duloxetine 20 MG, MG,66
Oral Tablet,phenazopyridine hydrochloride 200 MG, MG,66
GASTRO-RESISTANT TABLET,diclofenac sodium 50 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,66
Oral Tablet,carvedilol 25 MG, MG,65
Oral Tablet,tizanidine 2 MG, MG,65
Oral Tablet,methylprednisolone 4 MG, MG,65
Oral Tablet,metronidazole 250 MG, MG,65
Oral Capsule,pregabalin 200 MG, MG,65
Oral Tablet,sildenafil 100 MG, MG,65
Oral Capsule,fluoxetine 40 MG, MG,65
Oral Tablet,carvedilol 6.25 MG, MG,64
Oral Tablet,levothyroxine sodium 0.125 MG, MG,64
Mouthwash,chlorhexidine gluconate 1.2 MG/ML,ML,64
MOUTHWASH,chlorhexidine gluconate 1.2 MG/ML Mouthwash,ML Mouthwash,64
GARGLE,chlorhexidine gluconate 1.2 MG/ML Mouthwash,ML Mouthwash,64
Oral Tablet,lorazepam 0.5 MG, MG,64
Oral Capsule,oseltamivir 75 MG, MG,64
Delayed Release Oral Tablet,divalproex sodium 250 MG, MG,63
GASTRO-RESISTANT TABLET,divalproex sodium 250 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,63
Oral Tablet,carvedilol 12.5 MG, MG,63
Oral Capsule,pregabalin 25 MG, MG,63
Oral Tablet,ferrous fumarate 75 MG, MG,63
"TABLET, DELAYED RELEASE (OBS 06-25-01)",divalproex sodium 250 MG Delayed Release Oral Tablet, MG Delayed Release Oral Tablet,63
Oral Tablet,fenofibrate 160 MG, MG,63
Oral Tablet,levothyroxine sodium 0.15 MG, MG,62
Topical Cream,hydrocortisone 25 MG/ML,ML,62
Oral Tablet,amoxicillin 500 MG / clavulanate 125 MG, MG,62
Oral Tablet,amitriptyline hydrochloride 10 MG, MG,62
Oral Tablet,quetiapine 100 MG, MG,61
Extended Release Oral Tablet,Microencapsulated potassium chloride 20 MEQ, MEQ,61
"TABLET, EXTENDED RELEASE",Microencapsulated potassium chloride 20 MEQ Extended Release Oral Tablet, MEQ Extended Release Oral Tablet,61
Oral Tablet,alprazolam 0.5 MG, MG,61
Delayed Release Oral Capsule,esomeprazole 20 MG, MG,61
Oral Tablet,tadalafil 10 MG, MG,61
Oral Tablet,amlodipine 2.5 MG, MG,60
Oral Tablet,hydrochlorothiazide 50 MG, MG,60
Oral Capsule,hydrochlorothiazide 12.5 MG, MG,60
Oral Capsule,acyclovir 200 MG, MG,60
Oral Tablet,carvedilol 3.125 MG, MG,60
Oral Tablet,clarithromycin 500 MG, MG,60
Oral Tablet,acetaminophen 325 MG / oxycodone hydrochloride 10 MG, MG,60
Oral Capsule,loperamide hydrochloride 2 MG, MG,60
Oral Tablet,diazepam 10 MG, MG,60
