rxcui,ingredient_name,drugbank_id,drugbank_name,confidence,match_type,related_drugbank_ids,search_url,notes
5542,17-alpha-hydroxyprogesterone,DB14570,17-alpha-hydroxyprogesterone,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/5542/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
851732,Acacia pollen extract,DB10451,Acacia pollen extract,GREEN,RXNORM_XREF,DB10940,https://rxnav.nlm.nih.gov/REST/rxcui/851732/allProperties.json?prop=ALL,RxNorm returned 2 DrugBank ID(s)
828529,"albumin human, USP",DB00062,"albumin human, USP",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/828529/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892507,almond allergenic extract,DB10500,almond allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892507/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
476786,aloe polysaccharide,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/476786/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or DrugBank search"
901845,Alternaria alternata allergenic extract,DB10424,Alternaria alternata allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/901845/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1116977,American house dust mite allergenic extract,DB10400,American house dust mite allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1116977/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
155002,aminolevulinate,DB00855,aminolevulinate,GREEN,PUBCHEM_XREF,,https://pubchem.ncbi.nlm.nih.gov/compound/aminolevulinate,PubChem returned 1 DrugBank ID(s)
895574,apricot allergenic extract,DB10502,apricot allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/895574/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891796,asparagus allergenic extract,DB10503,asparagus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891796/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
999384,Aspergillus flavus allergenic extract,DB10694,Aspergillus flavus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/999384/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
466192,Aspergillus fumigatus allergenic extract,DB10425,Aspergillus fumigatus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/466192/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1006297,Aspergillus niger var. niger allergenic extract,DB10426,Aspergillus niger var. niger allergenic extract,YELLOW,RXNORM_APPROX,,https://rxnav.nlm.nih.gov/REST/approximateTerm.json?term=Aspergillus%20niger%20var.%20niger%20allergenic%20extract&maxEntries=5,Matched via RxNorm approximate-term search (near-match concept)
854082,Aspergillus niger var. niger extract,DB10426,Aspergillus niger var. niger extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/854082/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
900031,Atlantic salmon allergenic extract,DB10621,Atlantic salmon allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/900031/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852102,Aureobasidium pullulans var. pullutans allergenic extract,DB10427,Aureobasidium pullulans var. pullutans allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852102/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
895582,avocado allergenic extract,DB10504,avocado allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/895582/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
618278,azelate,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/618278/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
891830,banana allergenic extract,DB10505,banana allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891830/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
862453,barley allergenic extract,DB10506,barley allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/862453/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1006510,barley malt allergenic extract,DB10980,barley malt allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1006510/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892599,beef allergenic extract,DB10509,beef allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892599/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1359,belladonna alkaloids,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/1359/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
1014385,Bermuda grass smut allergenic extract,DB10834,Bermuda grass smut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1014385/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
974650,black olive allergenic extract,DB10547,black olive allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/974650/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899363,black pepper allergenic extract,DB10557,black pepper allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899363/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891695,black walnut allergenic extract,DB10919,black walnut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891695/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852162,black willow pollen extract,DB10398,black willow pollen extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852162/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
466195,Botrytis cinerea allergenic extract,DB10428,Botrytis cinerea allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/466195/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891514,brazil nut allergenic extract,DB10510,brazil nut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891514/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899386,broccoli allergenic extract,DB10511,broccoli allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899386/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899394,buckwheat allergenic extract,DB10512,buckwheat allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899394/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899398,cabbage allergenic extract,DB10513,cabbage allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899398/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
214355,Candida albicans allergenic extract,DB10429,Candida albicans allergenic extract,GREEN,RXNORM_XREF,DB11017,https://rxnav.nlm.nih.gov/REST/rxcui/214355/allProperties.json?prop=ALL,RxNorm returned 2 DrugBank ID(s)
892517,cantaloupe allergenic extract,DB10514,cantaloupe allergenic extract,GREEN,RXNORM_XREF,DB15611,https://rxnav.nlm.nih.gov/REST/rxcui/892517/allProperties.json?prop=ALL,RxNorm returned 2 DrugBank ID(s)
892368,carrot allergenic extract,DB10515,carrot allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892368/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899661,cauliflower allergenic extract,DB10643,cauliflower allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899661/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892372,celery allergenic extract,DB10517,celery allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892372/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
466197,Chaetomium globosum allergenic extract,DB10430,Chaetomium globosum allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/466197/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892653,chicken allergenic extract,DB10519,chicken allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892653/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899673,cinnamon allergenic extract,DB10520,cinnamon allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899673/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
867198,Cladosporium cladosporioides extract,DB10431,Cladosporium cladosporioides extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/867198/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
466198,Cladosporium herbarum allergenic extract,DB10865,Cladosporium herbarum allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/466198/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852398,Cochliobolus sativus allergenic extract,DB10433,Cochliobolus sativus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852398/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
995699,cochliobolus spicifer allergenic extract,DB10818,cochliobolus spicifer allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/995699/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891611,coconut allergenic extract,DB10523,coconut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891611/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892547,corn allergenic extract,DB10572,corn allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892547/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
966925,cotton fiber allergenic extract,DB10707,cotton fiber allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/966925/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852440,cottonseed allergenic extract,DB10408,cottonseed allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852440/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892610,crab allergenic extract,DB11011,crab allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892610/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899738,cucumber allergenic extract,DB10527,cucumber allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899738/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
3272,dextran 40,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/3272/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
1291425,docosaenoic acid,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/1291425/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
73,docosahexaenoate,DB03756,docosahexaenoate,GREEN,PUBCHEM_XREF,,https://pubchem.ncbi.nlm.nih.gov/compound/docosahexaenoate,PubChem returned 1 DrugBank ID(s)
894987,dog skin extract,DB10409,dog skin extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/894987/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852746,eastern sycamore pollen extract,DB10392,eastern sycamore pollen extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852746/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
904507,egg (chicken) allergenic extract,DB10529,egg (chicken) allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/904507/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
892620,egg yolk (chicken) allergenic extract,DB10530,egg yolk (chicken) allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/892620/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
618597,eicosapentaenoate,DB00159,eicosapentaenoate,GREEN,PUBCHEM_XREF,,https://pubchem.ncbi.nlm.nih.gov/compound/eicosapentaenoate,PubChem returned 1 DrugBank ID(s)
891687,English walnut allergenic extract,DB10577,English walnut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891687/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852466,Epicoccum nigrum allergenic extract,DB10434,Epicoccum nigrum allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852466/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
995707,epidermophyton floccosum allergenic extract,DB10870,epidermophyton floccosum allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/995707/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
4024,"ergoloid mesylates, USP",DB01049,"ergoloid mesylates, USP",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/4024/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
33747,estropipate,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/33747/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
852386,Eucalyptus globulus pollen extract,DB10470,Eucalyptus globulus pollen extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852386/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1116979,European house dust mite allergenic extract,DB10401,European house dust mite allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1116979/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
24912,ferric subsulfate solution,DB13885,ferric subsulfate solution,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/24912/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
2053495,fish oil (containing omega-3 acids),DB13961,fish oil (containing omega-3 acids),YELLOW,RXNORM_APPROX,,https://rxnav.nlm.nih.gov/REST/approximateTerm.json?term=fish%20oil%20%28containing%20omega-3%20acids%29&maxEntries=5,Matched via RxNorm approximate-term search (near-match concept)
386938,follitropin alfa,DB00066,follitropin alfa,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/386938/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
25357,follitropin beta,DB00066,follitropin beta,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/25357/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899414,garlic allergenic extract,DB10532,garlic allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899414/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
999463,Geotrichum candidum allergenic extract,DB10699,Geotrichum candidum allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/999463/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899420,ginger allergenic extract,DB10344,ginger allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899420/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1423803,glyceryl phosphate,DB02515,glyceryl phosphate,GREEN,PUBCHEM_XREF,,https://pubchem.ncbi.nlm.nih.gov/compound/glyceryl%20phosphate,PubChem returned 1 DrugBank ID(s)
899424,grapefruit allergenic extract,DB10534,grapefruit allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899424/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
862478,green bell pepper allergenic extract,DB10556,green bell pepper allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/862478/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
971379,green olive allergenic extract,DB10646,green olive allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/971379/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
891633,hazelnut allergenic extract,DB10654,hazelnut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/891633/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
867232,Helminthosporium solani allergenic extract,DB10436,Helminthosporium solani allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/867232/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1316105,"herpesvirus 1, human",,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/1316105/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
899476,honeydew melon allergenic extract,DB10536,honeydew melon allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/899476/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
899480,hops allergenic extract,DB10687,hops allergenic extract,YELLOW,RXNORM_APPROX,,https://rxnav.nlm.nih.gov/REST/approximateTerm.json?term=hops%20allergenic%20extract&maxEntries=5,Matched via RxNorm approximate-term search (near-match concept)
852479,horse skin extract,DB10410,horse skin extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852479/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
1192968,Hypomyces perniciosus allergenic extract,DB10820,Hypomyces perniciosus allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/1192968/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
748794,inert ingredients,,,RED,NOT_FOUND,,https://rxnav.nlm.nih.gov/REST/rxcui/748794/allProperties.json?prop=ALL,"Not found in RxNorm, PubChem, or RxNorm approximate search"
352385,"insulin aspart protamine, human",DB01306,"insulin aspart protamine, human",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/352385/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
51428,"insulin aspart, human",DB01306,"insulin aspart, human",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/51428/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
400008,"insulin glulisine, human",DB01309,"insulin glulisine, human",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/400008/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
314684,"insulin lispro protamine, human",DB00046,"insulin lispro protamine, human",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/314684/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
253182,"insulin, regular, human",DB00030,"insulin, regular, human",GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/253182/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
262150,iron carbonyl,DB01592,iron carbonyl,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/262150/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
5992,iron-dextran complex,DB00893,iron-dextran complex,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/5992/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
852128,Johnson grass smut allergenic extract,DB10873,Johnson grass smut allergenic extract,GREEN,RXNORM_XREF,,https://rxnav.nlm.nih.gov/REST/rxcui/852128/allProperties.json?prop=ALL,RxNorm returned 1 DrugBank ID(s)
